1	-22470915	-43825353 .......................................... 0	0
2	-22468917	-43830311   ......................................   827 .......................................................... 827
3	-22471057	-43831363  ......................................   245 ........................................................ 1072
4	-22473595	-43832217  ......................................   311 ........................................................ 1383
5	-22474437	-43832306   ........................................  94 ........................................................ 1477
6	-22475119	-43832473   ........................................  81 ........................................................ 1558
7	-22475875	-43833264   ........................................  98 ........................................................ 1656
8	-22477029	-43834818  ......................................   215 ........................................................ 1871
9	-22479233	-43836937  ......................................   350 ........................................................ 2221
10	-22479510	-43838360  ......................................   150 ........................................................ 2371
11	-22479863	-43839900  ......................................   163 ........................................................ 2534
12	-22480152	-43841076  ......................................   126 ........................................................ 2660
13	-22480382	-43842086  ......................................   107 ........................................................ 2767
14	-22480530	-43843101  ......................................   104 ........................................................ 2871
15	-22480019	-43844609  ......................................   171 ........................................................ 3042
16	-22479010	-43845760  ......................................   165 ........................................................ 3207
17	-22478376	-43847404  ......................................   184 ........................................................ 3391
18	-22477366	-43852296  ......................................   525 ........................................................ 3916
19	-22472377	-43862044   .....................................1322  ........................................................ 5238
20	-22468613	-43863568  ......................................   511 ........................................................ 5749
21	-22472333	-43873684   .....................................1169  ........................................................ 6918
22	-22478330	-43887242   .....................................1505  ........................................................ 8423
23	-22485407	-43898730   .....................................1518  ........................................................ 9941
24	-22487946	-43904407  ......................................   688 ...................................................... 10629
25	-22487888	-43914285   .....................................1025  ...................................................... 11654
26	-22487213	-43917340  ......................................   355 ...................................................... 12009
27	-22476229	-43940535   .....................................3074  ...................................................... 15083
28	-22475993	-43941865  ......................................   139 ...................................................... 15222
29	-22476577	-43944024  ......................................   238 ...................................................... 15460
30	-22477043	-43944038   ........................................  51 ...................................................... 15511
31	-22477900	-43944540  ......................................   106 ...................................................... 15617
32	-22479718	-43944949  ......................................   218 ...................................................... 15835
33	-22482992	-43945661  ......................................   406 ...................................................... 16241
34	-22489565	-43940734   .....................................1073  ...................................................... 17314
35	-22493175	-43939258  ......................................   506 ...................................................... 17820
36	-22496164	-43934060  ......................................   839 ...................................................... 18659
37	-22497491	-43934046  ......................................   155 ...................................................... 18814
38	-22497891	-43934901  ......................................   117 ...................................................... 18931
39	-22500970	-43933837  ......................................   360 ...................................................... 19291
40	-22503168	-43932606  ......................................   283 ...................................................... 19574
41	-22502248	-43932258  ......................................   115 ...................................................... 19689
42	-22501503	-43931999   ........................................  85 ...................................................... 19774
43	-22500098	-43931027  ......................................   179 ...................................................... 19953
44	-22499313	-43930169  ......................................   127 ...................................................... 20080
45	-22498646	-43929388  ......................................   110 ...................................................... 20190
46	-22497952	-43926734  ......................................   306 ...................................................... 20496
47	-22497550	-43925834  ......................................   103 ...................................................... 20599
48	-22497595	-43925923   ........................................  95 ...................................................... 20694
49	-22497967	-43926811  ......................................   105 ...................................................... 20799
50	-22498539	-43929272  ......................................   301 ...................................................... 21100
51	-22499218	-43930057  ......................................   110 ...................................................... 21210
52	-22499965	-43930897  ......................................   133 ...................................................... 21343
53	-22501497	-43930696  ......................................   147 ...................................................... 21490
54	-22502846	-43930430  ......................................   155 ...................................................... 21645
55	-22503562	-43930312   ........................................  81 ...................................................... 21726
56	-22504009	-43933307  ......................................   330 ...................................................... 22056
57	-22504968	-43933231  ......................................   103 ...................................................... 22159
58	-22505401	-43933604   ........................................  70 ...................................................... 22229
