1	-22468546	-43824800 .......................................... 0	0
2	-22465162	-43828403   ......................................   951 .......................................................... 951
3	-22465362	-43831037  ......................................   363 ........................................................ 1314
4	-22462650	-43835763  ......................................   575 ........................................................ 1889
5	-22459635	-43839407  ......................................   595 ........................................................ 2484
6	-22457351	-43839505  ......................................   309 ........................................................ 2793
7	-22457529	-43843065  ......................................   570 ........................................................ 3363
8	-22466781	-43860107   .....................................2083  ........................................................ 5446
9	-22468283	-43864003  ......................................   469 ........................................................ 5915
10	-22470887	-43870048  ......................................   665 ........................................................ 6580
11	-22472333	-43873684  ......................................   231 ........................................................ 6811
12	-22472991	-43875296  ......................................   180 ........................................................ 6991
13	-22478330	-43887242   .....................................1521  ........................................................ 8512
14	-22487946	-43904407   .....................................2188  ...................................................... 10700
15	-22476676	-43944012   .....................................4835  ...................................................... 15535
16	-22484574	-43964438   .....................................2357  ...................................................... 17892
17	-22476334	-44010462   .....................................5222  ...................................................... 23114
18	-22477122	-44016966  ......................................   674 ...................................................... 23788
19	-22480058	-44026569   .....................................1048  ...................................................... 24836
20	-22480208	-44029041  ......................................   236 ...................................................... 25072
21	-22480383	-44032142  ......................................   335 ...................................................... 25407
22	-22480541	-44035542  ......................................   356 ...................................................... 25763
23	-22481022	-44042110  ......................................   701 ...................................................... 26464
24	-22480092	-44043905  ......................................   213 ...................................................... 26677
25	-22478560	-44046394  ......................................   308 ...................................................... 26985
26	-22477443	-44048294  ......................................   234 ...................................................... 27219
