1	-22469850	-43823818 .......................................... 0	0
2	-22471265	-43824071   ......................................   181 .......................................................... 181
3	-22472269	-43822924   ......................................   165 .......................................................... 346
4	-22472779	-43821465   ......................................   147 .......................................................... 493
5	-22476233	-43819072   ......................................   496 .......................................................... 989
6	-22478099	-43819695  ......................................   225 ........................................................ 1214
7	-22480734	-43817872  ......................................   398 ........................................................ 1612
8	-22483007	-43818223  ......................................   234 ........................................................ 1846
9	-22484056	-43818746  ......................................   133 ........................................................ 1979
10	-22486173	-43818112  ......................................   274 ........................................................ 2253
11	-22487777	-43817140  ......................................   204 ........................................................ 2457
12	-22489669	-43815880  ......................................   269 ........................................................ 2726
13	-22492283	-43813684  ......................................   372 ........................................................ 3098
14	-22495236	-43813341  ......................................   325 ........................................................ 3423
15	-22496104	-43812757  ......................................   110 ........................................................ 3533
16	-22498423	-43811520  ......................................   340 ........................................................ 3873
17	-22502204	-43812447  ......................................   488 ........................................................ 4361
18	-22502419	-43814405  ......................................   205 ........................................................ 4566
19	-22505849	-43818645  ......................................   594 ........................................................ 5160
20	-22507057	-43818535  ......................................   198 ........................................................ 5358
21	-22507148	-43817385  ......................................   128 ........................................................ 5486
22	-22506122	-43812986  ......................................   487 ........................................................ 5973
23	-22507119	-43811622  ......................................   187 ........................................................ 6160
24	-22508651	-43811211  ......................................   176 ........................................................ 6336
25	-22509855	-43810978  ......................................   141 ........................................................ 6477
26	-22511300	-43810654  ......................................   157 ........................................................ 6634
27	-22512306	-43810382  ......................................   150 ........................................................ 6784
28	-22514001	-43809404  ......................................   179 ........................................................ 6963
29	-22515788	-43808339  ......................................   220 ........................................................ 7183
30	-22516908	-43807652  ......................................   146 ........................................................ 7329
31	-22518532	-43805968  ......................................   252 ........................................................ 7581
32	-22521915	-43804157  ......................................   425 ........................................................ 8006
33	-22519845	-43804567  ......................................   413 ........................................................ 8419
34	-22519379	-43804758   ........................................  47 ........................................................ 8466
35	-22518140	-43806153  ......................................   205 ........................................................ 8671
36	-22516159	-43807173  ......................................   270 ........................................................ 8941
37	-22515293	-43806273  ......................................   131 ........................................................ 9072
38	-22514778	-43805790   ........................................  75 ........................................................ 9147
39	-22514165	-43804972  ......................................   108 ........................................................ 9255
40	-22512984	-43803016  ......................................   244 ........................................................ 9499
41	-22511795	-43802795  ......................................   141 ........................................................ 9640
42	-22510704	-43803473  ......................................   141 ........................................................ 9781
43	-22510415	-43803682   ........................................  39 ........................................................ 9820
44	-22508648	-43806782  ......................................   394 ...................................................... 10214
