1	-22470915	-43825353 .......................................... 0	0
2	-22472318	-43825983   ......................................   230 .......................................................... 230
3	-22473107	-43826682   ......................................   117 .......................................................... 347
4	-22474156	-43826546   ......................................   198 .......................................................... 545
5	-22474474	-43825914   ......................................   105 .......................................................... 650
6	-22475297	-43826145   ........................................   97 .......................................................... 747
7	-22476283	-43825899   ......................................   154 .......................................................... 901
8	-22477112	-43825499  ......................................   108 ........................................................ 1009
9	-22477842	-43826117  ......................................   109 ........................................................ 1118
10	-22478428	-43826645   ........................................  89 ........................................................ 1207
11	-22478952	-43826487   ........................................  62 ........................................................ 1269
12	-22479541	-43826246   ........................................  74 ........................................................ 1343
13	-22480149	-43825357  ......................................   111 ........................................................ 1454
14	-22481038	-43825650  ......................................   101 ........................................................ 1555
15	-22481564	-43826335   ........................................  92 ........................................................ 1647
16	-22481509	-43826959   ........................................  60 ........................................................ 1707
17	-22480998	-43827507   ........................................  97 ........................................................ 1804
18	-22481737	-43828108  ......................................   128 ........................................................ 1932
19	-22481138	-43828669   ........................................  88 ........................................................ 2020
20	-22480778	-43829254   ........................................  72 ........................................................ 2092
21	-22480529	-43830054  ......................................   101 ........................................................ 2193
22	-22481039	-43829864   ........................................  66 ........................................................ 2259
23	-22481772	-43829622   ........................................  88 ........................................................ 2347
24	-22482351	-43829276   ........................................  75 ........................................................ 2422
